TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train,32_train,64_train,128_train,256_train
CHEMBL1006005,0.494140625,0.4922527584747517,0.0,0.0,0.578+/-0.048,0.594+/-0.049,0.605+/-0.033,0.618+/-0.088,
CHEMBL1066254,0.494140625,0.4823208717887617,0.0,0.0,0.683+/-0.066,0.757+/-0.051,0.835+/-0.04,0.865+/-0.072,
CHEMBL1119333,0.5,0.498240458289008,0.0,0.0,0.784+/-0.038,0.79+/-0.028,0.824+/-0.022,0.857+/-0.035,0.899+/-0.025
CHEMBL1243967,0.5,0.5,0.0,0.0,0.832+/-0.037,0.852+/-0.035,0.863+/-0.024,0.895+/-0.018,
CHEMBL1243970,0.5,0.5,0.0,0.0,0.804+/-0.06,0.826+/-0.027,0.854+/-0.03,0.875+/-0.024,
CHEMBL1613777,0.496875,0.49244683822904,0.0,0.0,0.524+/-0.043,0.554+/-0.027,0.586+/-0.038,0.618+/-0.03,0.65+/-0.011
CHEMBL1613800,0.39375,0.39689776888961076,0.0,0.0,0.456+/-0.021,0.463+/-0.034,0.484+/-0.02,0.5+/-0.023,0.537+/-0.009
CHEMBL1613898,0.5,0.4938275390663997,0.0,0.0,0.57+/-0.044,0.585+/-0.032,0.602+/-0.03,0.631+/-0.056,
CHEMBL1613907,0.494140625,0.48655235373501615,0.0,0.0,0.603+/-0.053,0.636+/-0.041,0.648+/-0.038,0.655+/-0.098,
CHEMBL1613926,0.5,0.4781182813614985,0.0,0.0,0.653+/-0.065,0.699+/-0.069,0.738+/-0.034,0.834+/-0.175,
CHEMBL1613949,0.3359375,0.34002478226331984,0.0,0.0,0.645+/-0.059,0.706+/-0.05,0.744+/-0.044,0.809+/-0.1,
CHEMBL1614027,0.5,0.49913527524857193,0.0,0.0,0.559+/-0.028,0.598+/-0.032,0.641+/-0.04,0.683+/-0.011,0.726+/-0.011
CHEMBL1614153,0.33125,0.3348484157792916,0.0,0.0,0.338+/-0.033,0.372+/-0.03,0.379+/-0.027,0.401+/-0.018,0.419+/-0.011
CHEMBL1614292,0.353125,0.3499394881765983,0.0,0.0,0.389+/-0.014,0.398+/-0.017,0.398+/-0.015,0.404+/-0.019,0.419+/-0.015
CHEMBL1614423,0.37734375,0.3802097121050365,0.0,0.0,0.707+/-0.064,0.746+/-0.022,0.78+/-0.025,0.82+/-0.021,0.847+/-0.034
CHEMBL1614433,0.42890625,0.4235015157725389,0.0,0.0,0.508+/-0.039,0.511+/-0.037,0.516+/-0.039,0.545+/-0.028,0.573+/-0.042
CHEMBL1614466,0.42109375,0.4188410827123583,0.0,0.0,0.503+/-0.045,0.528+/-0.039,0.521+/-0.028,0.537+/-0.024,0.553+/-0.029
CHEMBL1614503,0.3125,0.3187259649622561,0.0,0.0,0.543+/-0.045,0.591+/-0.102,0.655+/-0.055,0.862+/-0.163,
CHEMBL1614508,0.4609375,0.4669557051946646,0.0,0.0,0.854+/-0.028,0.875+/-0.015,0.886+/-0.018,0.912+/-0.033,
CHEMBL1614522,0.5,0.4984509249973576,0.0,0.0,0.61+/-0.049,0.628+/-0.039,0.644+/-0.021,0.676+/-0.02,0.701+/-0.023
CHEMBL1737951,0.375,0.37171898896805067,0.0,0.0,0.708+/-0.045,0.773+/-0.031,0.835+/-0.056,0.888+/-0.045,
CHEMBL1738079,0.4921875,0.4873977411477411,0.0,0.0,0.51+/-0.049,0.537+/-0.036,0.553+/-0.03,0.598+/-0.021,
CHEMBL1738362,0.3125,0.2991870609445262,0.0,0.0,0.519+/-0.063,0.582+/-0.063,0.676+/-0.055,0.716+/-0.159,
CHEMBL1738395,0.5,0.49455401000965027,0.0,0.0,0.513+/-0.038,0.495+/-0.034,0.504+/-0.029,0.565+/-0.037,
CHEMBL1738485,0.5,0.5,0.0,0.0,0.591+/-0.034,0.609+/-0.036,0.64+/-0.03,0.677+/-0.037,0.739+/-0.063
CHEMBL1738502,0.35625,0.352218876891842,0.0,0.0,0.518+/-0.085,0.547+/-0.054,0.595+/-0.033,0.606+/-0.031,0.64+/-0.029
CHEMBL1738573,0.5,0.5,0.0,0.0,0.528+/-0.044,0.541+/-0.03,0.561+/-0.028,0.591+/-0.019,0.615+/-0.013
CHEMBL1738579,0.4765625,0.4730754904010718,0.0,0.0,0.581+/-0.042,0.615+/-0.043,0.631+/-0.045,0.705+/-0.025,
CHEMBL1738633,0.5,0.4898738735401718,0.0,0.0,0.615+/-0.053,0.654+/-0.053,0.651+/-0.07,0.691+/-0.078,
CHEMBL1794324,0.490625,0.4852315330406838,0.0,0.0,0.575+/-0.029,0.588+/-0.036,0.611+/-0.041,0.64+/-0.025,0.677+/-0.013
CHEMBL1794504,0.501953125,0.5085318816521824,0.0,0.0,0.739+/-0.062,0.797+/-0.056,0.856+/-0.039,0.85+/-0.242,
CHEMBL1794519,0.5,0.5,0.0,0.0,0.801+/-0.03,0.841+/-0.021,0.86+/-0.026,0.858+/-0.064,
