TASK_ID,16_train,32_train,64_train,128_train,256_train
CHEMBL1066254,0.226+/-0.081,0.381+/-0.06,0.58+/-0.036,0.659+/-0.127,
CHEMBL1119333,0.386+/-0.088,0.469+/-0.051,0.554+/-0.046,0.655+/-0.019,0.726+/-0.028
CHEMBL1243967,0.355+/-0.064,0.51+/-0.045,0.645+/-0.034,0.703+/-0.051,
CHEMBL1243970,0.295+/-0.063,0.373+/-0.062,0.481+/-0.026,0.567+/-0.046,
CHEMBL1613777,-0.006+/-0.04,0.022+/-0.028,0.021+/-0.024,0.038+/-0.025,0.062+/-0.019
CHEMBL1613800,-0.016+/-0.034,-0.001+/-0.022,-0.001+/-0.014,0.015+/-0.022,0.034+/-0.01
CHEMBL1613898,0.007+/-0.044,0.027+/-0.022,0.064+/-0.028,0.071+/-0.047,
CHEMBL1613907,0.026+/-0.027,0.086+/-0.073,0.122+/-0.085,0.251+/-0.195,
CHEMBL1613926,0.12+/-0.113,0.131+/-0.135,0.255+/-0.092,0.436+/-0.32,
CHEMBL1613949,0.171+/-0.078,0.291+/-0.054,0.386+/-0.049,0.464+/-0.095,
CHEMBL1614027,0.031+/-0.022,0.046+/-0.027,0.082+/-0.019,0.125+/-0.021,0.156+/-0.017
CHEMBL1614153,-0.006+/-0.023,-0.002+/-0.025,0.008+/-0.023,0.023+/-0.013,0.032+/-0.007
CHEMBL1614292,-0.015+/-0.028,-0.011+/-0.015,-0.006+/-0.01,-0.002+/-0.013,0.006+/-0.008
CHEMBL1614423,0.212+/-0.081,0.321+/-0.099,0.44+/-0.046,0.53+/-0.039,0.613+/-0.034
CHEMBL1614433,-0.008+/-0.051,-0.001+/-0.027,0.023+/-0.018,0.046+/-0.011,0.043+/-0.043
CHEMBL1614466,-0.009+/-0.062,-0.001+/-0.039,-0.003+/-0.017,-0.002+/-0.018,0.002+/-0.019
CHEMBL1614503,0.096+/-0.037,0.143+/-0.04,0.177+/-0.053,0.336+/-0.193,
CHEMBL1614508,0.346+/-0.08,0.433+/-0.054,0.456+/-0.056,0.512+/-0.168,
CHEMBL1614522,0.01+/-0.058,0.035+/-0.04,0.059+/-0.018,0.071+/-0.018,0.09+/-0.021
CHEMBL1737951,0.255+/-0.051,0.361+/-0.055,0.487+/-0.072,0.601+/-0.075,
CHEMBL1738079,0.001+/-0.027,0.003+/-0.025,-0.001+/-0.038,0.02+/-0.034,
CHEMBL1738362,0.157+/-0.041,0.255+/-0.045,0.381+/-0.029,0.477+/-0.193,
CHEMBL1738395,-0.039+/-0.03,-0.059+/-0.052,-0.069+/-0.077,-0.077+/-0.143,
CHEMBL1738485,0.052+/-0.08,0.08+/-0.074,0.146+/-0.061,0.221+/-0.049,0.307+/-0.089
CHEMBL1738502,0.049+/-0.05,0.085+/-0.038,0.134+/-0.026,0.15+/-0.03,0.201+/-0.017
CHEMBL1738573,-0.002+/-0.017,0.008+/-0.014,-0.001+/-0.015,0.006+/-0.017,0.045+/-0.014
CHEMBL1738579,-0.004+/-0.064,0.027+/-0.036,0.059+/-0.045,0.117+/-0.042,
CHEMBL1738633,0.036+/-0.04,0.073+/-0.043,0.096+/-0.048,0.154+/-0.152,
CHEMBL1794324,0.032+/-0.047,0.048+/-0.029,0.076+/-0.042,0.112+/-0.02,0.143+/-0.026
CHEMBL1794504,0.095+/-0.042,0.183+/-0.068,0.307+/-0.036,0.242+/-0.651,
CHEMBL1794519,0.422+/-0.077,0.54+/-0.034,0.602+/-0.068,0.619+/-0.089,
CHEMBL1794557,0.012+/-0.028,0.028+/-0.013,0.045+/-0.027,0.065+/-0.018,0.101+/-0.035
CHEMBL1963701,0.137+/-0.091,0.22+/-0.104,0.349+/-0.088,0.463+/-0.035,0.522+/-0.023
CHEMBL1963705,0.299+/-0.09,0.449+/-0.072,0.557+/-0.069,0.648+/-0.04,0.717+/-0.022
CHEMBL1963715,0.322+/-0.123,0.486+/-0.077,0.575+/-0.037,0.641+/-0.041,0.717+/-0.013
CHEMBL1963721,0.245+/-0.058,0.314+/-0.051,0.368+/-0.045,0.438+/-0.041,0.46+/-0.098
CHEMBL1963723,0.339+/-0.113,0.542+/-0.092,0.649+/-0.031,0.703+/-0.012,0.728+/-0.012
CHEMBL1963731,0.462+/-0.127,0.602+/-0.053,0.683+/-0.024,0.74+/-0.021,0.783+/-0.021
CHEMBL1963741,0.194+/-0.089,0.285+/-0.08,0.399+/-0.05,0.445+/-0.027,0.501+/-0.03
CHEMBL1963756,0.295+/-0.13,0.358+/-0.093,0.522+/-0.05,0.572+/-0.039,0.585+/-0.026
CHEMBL1963773,0.193+/-0.097,0.319+/-0.084,0.419+/-0.041,0.483+/-0.049,0.532+/-0.031
CHEMBL1963799,0.374+/-0.093,0.534+/-0.048,0.615+/-0.028,0.672+/-0.03,0.69+/-0.03
