TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train,32_train,64_train,128_train,256_train
CHEMBL1006005,0.494140625,0.4922527584747517,0.0,0.0,0.411+/-0.009,0.409+/-0.009,0.425+/-0.019,0.442+/-0.036,
CHEMBL1066254,0.494140625,0.4823208717887617,0.0,0.0,0.573+/-0.021,0.567+/-0.019,0.584+/-0.035,0.638+/-0.132,
CHEMBL1119333,0.5,0.498240458289008,0.0,0.0,0.514+/-0.032,0.527+/-0.026,0.533+/-0.023,0.542+/-0.023,0.555+/-0.046
CHEMBL1243967,0.5,0.5,0.0,0.0,0.808+/-0.016,0.814+/-0.019,0.811+/-0.026,0.83+/-0.033,
CHEMBL1243970,0.5,0.5,0.0,0.0,0.78+/-0.023,0.792+/-0.017,0.792+/-0.028,0.802+/-0.025,
CHEMBL1613777,0.496875,0.49244683822904,0.0,0.0,0.486+/-0.009,0.488+/-0.004,0.486+/-0.003,0.488+/-0.003,0.487+/-0.004
CHEMBL1613800,0.39375,0.39689776888961076,0.0,0.0,0.441+/-0.01,0.438+/-0.009,0.44+/-0.004,0.44+/-0.006,0.441+/-0.004
CHEMBL1613898,0.5,0.4938275390663997,0.0,0.0,0.563+/-0.016,0.563+/-0.018,0.575+/-0.028,0.615+/-0.057,
CHEMBL1613907,0.494140625,0.48655235373501615,0.0,0.0,0.524+/-0.023,0.528+/-0.024,0.533+/-0.032,0.523+/-0.086,
CHEMBL1613926,0.5,0.4781182813614985,0.0,0.0,0.611+/-0.019,0.613+/-0.031,0.625+/-0.045,0.749+/-0.17,
CHEMBL1613949,0.3359375,0.34002478226331984,0.0,0.0,0.518+/-0.05,0.51+/-0.027,0.52+/-0.021,0.595+/-0.104,
CHEMBL1614027,0.5,0.49913527524857193,0.0,0.0,0.51+/-0.009,0.507+/-0.007,0.506+/-0.005,0.508+/-0.003,0.509+/-0.005
CHEMBL1614153,0.33125,0.3348484157792916,0.0,0.0,0.306+/-0.002,0.307+/-0.001,0.306+/-0.001,0.306+/-0.002,0.307+/-0.002
CHEMBL1614292,0.353125,0.3499394881765983,0.0,0.0,0.355+/-0.003,0.355+/-0.002,0.355+/-0.002,0.354+/-0.003,0.355+/-0.004
CHEMBL1614423,0.37734375,0.3802097121050365,0.0,0.0,0.319+/-0.008,0.32+/-0.007,0.321+/-0.011,0.326+/-0.011,0.334+/-0.014
