TASK_ID,16_train,32_train,64_train,128_train,256_train
CHEMBL1066254,0.003+/-0.013,0.001+/-0.014,0.007+/-0.017,0.009+/-0.064,
CHEMBL1119333,0.039+/-0.024,0.031+/-0.012,0.039+/-0.009,0.042+/-0.011,0.034+/-0.029
CHEMBL1243967,0.046+/-0.008,0.046+/-0.01,0.041+/-0.015,0.033+/-0.042,
CHEMBL1243970,0.037+/-0.011,0.033+/-0.008,0.025+/-0.017,0.025+/-0.027,
CHEMBL1613777,-0.035+/-0.033,-0.024+/-0.012,-0.026+/-0.007,-0.026+/-0.007,-0.023+/-0.005
CHEMBL1613800,-0.021+/-0.009,-0.025+/-0.003,-0.026+/-0.005,-0.029+/-0.004,-0.028+/-0.007
CHEMBL1613898,0.003+/-0.006,-0.004+/-0.021,0.006+/-0.03,-0.002+/-0.044,
CHEMBL1613907,-0.069+/-0.037,-0.075+/-0.03,-0.074+/-0.031,-0.076+/-0.176,
CHEMBL1613926,-0.05+/-0.017,-0.047+/-0.011,-0.047+/-0.018,-0.08+/-0.047,
CHEMBL1613949,-0.04+/-0.02,-0.044+/-0.017,-0.051+/-0.02,-0.086+/-0.051,
CHEMBL1614027,-0.013+/-0.012,-0.009+/-0.012,-0.008+/-0.006,-0.011+/-0.005,-0.014+/-0.005
CHEMBL1614153,-0.044+/-0.02,-0.047+/-0.009,-0.047+/-0.009,-0.045+/-0.006,-0.044+/-0.003
CHEMBL1614292,-0.044+/-0.041,-0.031+/-0.015,-0.027+/-0.007,-0.025+/-0.004,-0.026+/-0.006
CHEMBL1614423,-0.067+/-0.02,-0.069+/-0.016,-0.072+/-0.013,-0.077+/-0.013,-0.066+/-0.014
CHEMBL1614433,-0.057+/-0.041,-0.059+/-0.023,-0.053+/-0.013,-0.048+/-0.011,-0.063+/-0.031
CHEMBL1614466,0.007+/-0.048,-0.011+/-0.038,-0.004+/-0.012,-0.002+/-0.011,-0.003+/-0.02
CHEMBL1614503,0.061+/-0.013,0.058+/-0.016,0.059+/-0.023,0.116+/-0.113,
CHEMBL1614508,0.141+/-0.021,0.155+/-0.037,0.143+/-0.036,0.153+/-0.066,
CHEMBL1614522,-0.096+/-0.016,-0.097+/-0.014,-0.098+/-0.004,-0.093+/-0.007,-0.094+/-0.014
CHEMBL1737951,0.066+/-0.006,0.069+/-0.007,0.065+/-0.008,0.067+/-0.009,
CHEMBL1738079,0.002+/-0.011,-0.004+/-0.01,-0.002+/-0.013,-0.004+/-0.021,
CHEMBL1738362,0.005+/-0.018,0.01+/-0.026,0.011+/-0.029,0.002+/-0.071,
CHEMBL1738395,-0.03+/-0.022,-0.035+/-0.017,-0.048+/-0.031,-0.06+/-0.056,
CHEMBL1738485,0.018+/-0.02,0.021+/-0.02,0.023+/-0.012,0.033+/-0.015,0.05+/-0.06
CHEMBL1738502,0.0+/-0.007,0.0+/-0.004,0.001+/-0.006,0.003+/-0.006,-0.001+/-0.009
CHEMBL1738573,-0.014+/-0.009,-0.017+/-0.007,-0.019+/-0.006,-0.022+/-0.007,-0.024+/-0.006
CHEMBL1738579,-0.01+/-0.026,-0.003+/-0.017,-0.001+/-0.019,-0.011+/-0.039,
