TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train,32_train,64_train,128_train,256_train
CHEMBL1006005,0.494140625,0.4922527584747517,0.0,0.0,0.593+/-0.068,0.597+/-0.064,0.59+/-0.054,0.57+/-0.064,
CHEMBL1066254,0.494140625,0.4823208717887617,0.0,0.0,0.634+/-0.102,0.723+/-0.053,0.771+/-0.06,0.85+/-0.102,
CHEMBL1119333,0.5,0.498240458289008,0.0,0.0,0.747+/-0.087,0.743+/-0.053,0.781+/-0.028,0.789+/-0.04,0.816+/-0.043
CHEMBL1243967,0.5,0.5,0.0,0.0,0.69+/-0.064,0.695+/-0.062,0.76+/-0.046,0.785+/-0.036,
CHEMBL1243970,0.5,0.5,0.0,0.0,0.664+/-0.08,0.693+/-0.071,0.755+/-0.06,0.781+/-0.057,
CHEMBL1613777,0.496875,0.49244683822904,0.0,0.0,0.527+/-0.046,0.561+/-0.038,0.57+/-0.046,0.586+/-0.028,0.593+/-0.023
CHEMBL1613800,0.39375,0.39689776888961076,0.0,0.0,0.432+/-0.014,0.441+/-0.019,0.456+/-0.021,0.469+/-0.022,0.496+/-0.023
CHEMBL1613898,0.5,0.4938275390663997,0.0,0.0,0.566+/-0.048,0.597+/-0.042,0.609+/-0.052,0.637+/-0.07,
CHEMBL1613907,0.494140625,0.48655235373501615,0.0,0.0,0.593+/-0.039,0.618+/-0.046,0.654+/-0.074,0.674+/-0.101,
CHEMBL1613926,0.5,0.4781182813614985,0.0,0.0,0.635+/-0.047,0.617+/-0.057,0.705+/-0.07,0.841+/-0.159,
CHEMBL1613949,0.3359375,0.34002478226331984,0.0,0.0,0.481+/-0.082,0.551+/-0.059,0.615+/-0.069,0.644+/-0.081,
CHEMBL1614027,0.5,0.49913527524857193,0.0,0.0,0.55+/-0.03,0.585+/-0.025,0.62+/-0.038,0.63+/-0.024,0.642+/-0.021
CHEMBL1614153,0.33125,0.3348484157792916,0.0,0.0,0.341+/-0.022,0.364+/-0.022,0.383+/-0.026,0.394+/-0.018,0.395+/-0.017
CHEMBL1614292,0.353125,0.3499394881765983,0.0,0.0,0.374+/-0.026,0.381+/-0.02,0.378+/-0.025,0.395+/-0.026,0.396+/-0.02
CHEMBL1614423,0.37734375,0.3802097121050365,0.0,0.0,0.696+/-0.078,0.747+/-0.049,0.791+/-0.039,0.767+/-0.079,0.82+/-0.028
CHEMBL1614433,0.42890625,0.4235015157725389,0.0,0.0,0.467+/-0.03,0.477+/-0.027,0.48+/-0.027,0.495+/-0.019,0.471+/-0.037
CHEMBL1614466,0.42109375,0.4188410827123583,0.0,0.0,0.474+/-0.054,0.494+/-0.037,0.474+/-0.03,0.465+/-0.04,0.44+/-0.026
CHEMBL1614503,0.3125,0.3187259649622561,0.0,0.0,0.467+/-0.056,0.482+/-0.086,0.588+/-0.058,0.698+/-0.228,
CHEMBL1614508,0.4609375,0.4669557051946646,0.0,0.0,0.836+/-0.04,0.825+/-0.039,0.856+/-0.023,0.86+/-0.081,
CHEMBL1614522,0.5,0.4984509249973576,0.0,0.0,0.567+/-0.078,0.605+/-0.04,0.606+/-0.026,0.605+/-0.022,0.604+/-0.024
CHEMBL1737951,0.375,0.37171898896805067,0.0,0.0,0.666+/-0.076,0.7+/-0.047,0.732+/-0.052,0.78+/-0.075,
CHEMBL1738079,0.4921875,0.4873977411477411,0.0,0.0,0.502+/-0.027,0.49+/-0.04,0.51+/-0.032,0.541+/-0.034,
CHEMBL1738362,0.3125,0.2991870609445262,0.0,0.0,0.513+/-0.055,0.597+/-0.056,0.668+/-0.064,0.673+/-0.131,
CHEMBL1738395,0.5,0.49455401000965027,0.0,0.0,0.528+/-0.045,0.506+/-0.045,0.509+/-0.047,0.524+/-0.047,
CHEMBL1738485,0.5,0.5,0.0,0.0,0.582+/-0.038,0.601+/-0.041,0.615+/-0.044,0.624+/-0.041,0.636+/-0.036
CHEMBL1738502,0.35625,0.352218876891842,0.0,0.0,0.444+/-0.089,0.47+/-0.068,0.483+/-0.041,0.482+/-0.032,0.474+/-0.033
CHEMBL1738573,0.5,0.5,0.0,0.0,0.519+/-0.038,0.542+/-0.03,0.554+/-0.037,0.57+/-0.019,0.569+/-0.02
CHEMBL1738579,0.4765625,0.4730754904010718,0.0,0.0,0.549+/-0.054,0.569+/-0.062,0.573+/-0.037,0.585+/-0.039,
CHEMBL1738633,0.5,0.4898738735401718,0.0,0.0,0.587+/-0.047,0.616+/-0.041,0.646+/-0.086,0.629+/-0.101,
CHEMBL1794324,0.490625,0.4852315330406838,0.0,0.0,0.546+/-0.026,0.562+/-0.018,0.565+/-0.024,0.572+/-0.018,0.583+/-0.016
