TASK_ID,16_train,32_train,64_train,128_train,256_train
CHEMBL1066254,0.107+/-0.249,0.142+/-0.135,0.465+/-0.061,0.617+/-0.09,
CHEMBL1119333,0.31+/-0.131,0.402+/-0.075,0.439+/-0.082,0.52+/-0.045,0.645+/-0.049
CHEMBL1243967,0.095+/-0.09,0.184+/-0.086,0.217+/-0.133,0.293+/-0.138,
CHEMBL1243970,0.089+/-0.052,0.068+/-0.096,0.125+/-0.1,0.26+/-0.099,
CHEMBL1613777,-0.062+/-0.069,-0.083+/-0.069,-0.168+/-0.112,-0.195+/-0.091,-0.174+/-0.089
CHEMBL1613800,-0.057+/-0.036,-0.113+/-0.062,-0.129+/-0.035,-0.17+/-0.048,-0.214+/-0.049
CHEMBL1613898,-0.088+/-0.127,-0.169+/-0.096,-0.161+/-0.16,-0.208+/-0.253,
CHEMBL1613907,0.007+/-0.033,0.037+/-0.088,0.031+/-0.189,0.184+/-0.286,
CHEMBL1613926,0.043+/-0.144,-0.07+/-0.196,0.137+/-0.15,0.324+/-0.466,
CHEMBL1613949,0.041+/-0.103,0.127+/-0.069,0.205+/-0.096,0.238+/-0.163,
CHEMBL1614027,-0.017+/-0.067,-0.056+/-0.103,-0.027+/-0.042,-0.039+/-0.07,-0.075+/-0.057
CHEMBL1614153,-0.114+/-0.069,-0.138+/-0.054,-0.149+/-0.064,-0.16+/-0.035,-0.233+/-0.042
CHEMBL1614292,-0.085+/-0.069,-0.14+/-0.06,-0.149+/-0.042,-0.193+/-0.076,-0.275+/-0.056
CHEMBL1614423,0.21+/-0.093,0.347+/-0.093,0.419+/-0.081,0.474+/-0.054,0.526+/-0.085
CHEMBL1614433,-0.118+/-0.14,-0.145+/-0.174,-0.12+/-0.051,-0.127+/-0.034,-0.282+/-0.161
CHEMBL1614466,-0.109+/-0.141,-0.141+/-0.16,-0.14+/-0.066,-0.219+/-0.086,-0.283+/-0.074
CHEMBL1614503,-0.044+/-0.098,-0.02+/-0.095,-0.002+/-0.094,0.139+/-0.388,
