TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train,32_train,64_train,128_train,256_train
CHEMBL1006005,0.494140625,0.4922527584747517,0.0,0.0,0.58+/-0.053,0.605+/-0.059,0.618+/-0.022,0.633+/-0.062,
CHEMBL1066254,0.494140625,0.4823208717887617,0.0,0.0,0.674+/-0.056,0.753+/-0.071,0.821+/-0.042,0.869+/-0.094,
CHEMBL1119333,0.5,0.498240458289008,0.0,0.0,0.773+/-0.04,0.769+/-0.041,0.805+/-0.03,0.845+/-0.038,0.879+/-0.025
CHEMBL1243967,0.5,0.5,0.0,0.0,0.84+/-0.025,0.848+/-0.04,0.864+/-0.016,0.889+/-0.021,
CHEMBL1243970,0.5,0.5,0.0,0.0,0.791+/-0.057,0.817+/-0.037,0.843+/-0.041,0.862+/-0.027,
CHEMBL1613777,0.496875,0.49244683822904,0.0,0.0,0.528+/-0.044,0.544+/-0.026,0.577+/-0.028,0.61+/-0.026,0.636+/-0.014
CHEMBL1613800,0.39375,0.39689776888961076,0.0,0.0,0.452+/-0.027,0.452+/-0.028,0.471+/-0.02,0.49+/-0.011,0.52+/-0.014
CHEMBL1613898,0.5,0.4938275390663997,0.0,0.0,0.574+/-0.035,0.628+/-0.056,0.637+/-0.041,0.653+/-0.065,
CHEMBL1613907,0.494140625,0.48655235373501615,0.0,0.0,0.612+/-0.036,0.63+/-0.054,0.664+/-0.035,0.688+/-0.075,
CHEMBL1613926,0.5,0.4781182813614985,0.0,0.0,0.646+/-0.081,0.693+/-0.056,0.735+/-0.03,0.795+/-0.185,
CHEMBL1613949,0.3359375,0.34002478226331984,0.0,0.0,0.654+/-0.07,0.698+/-0.05,0.772+/-0.026,0.813+/-0.1,
CHEMBL1614027,0.5,0.49913527524857193,0.0,0.0,0.548+/-0.031,0.582+/-0.032,0.623+/-0.03,0.676+/-0.021,0.72+/-0.016
CHEMBL1614153,0.33125,0.3348484157792916,0.0,0.0,0.345+/-0.044,0.381+/-0.021,0.387+/-0.022,0.413+/-0.012,0.416+/-0.013
CHEMBL1614292,0.353125,0.3499394881765983,0.0,0.0,0.388+/-0.018,0.388+/-0.018,0.394+/-0.014,0.404+/-0.023,0.414+/-0.024
CHEMBL1614423,0.37734375,0.3802097121050365,0.0,0.0,0.679+/-0.05,0.728+/-0.036,0.784+/-0.033,0.824+/-0.029,0.856+/-0.022
CHEMBL1614433,0.42890625,0.4235015157725389,0.0,0.0,0.495+/-0.045,0.509+/-0.056,0.511+/-0.037,0.538+/-0.022,0.579+/-0.035
CHEMBL1614466,0.42109375,0.4188410827123583,0.0,0.0,0.475+/-0.045,0.506+/-0.05,0.507+/-0.03,0.509+/-0.037,0.519+/-0.024
CHEMBL1614503,0.3125,0.3187259649622561,0.0,0.0,0.501+/-0.068,0.514+/-0.082,0.541+/-0.06,0.742+/-0.24,
CHEMBL1614508,0.4609375,0.4669557051946646,0.0,0.0,0.848+/-0.029,0.876+/-0.009,0.888+/-0.017,0.91+/-0.04,
CHEMBL1614522,0.5,0.4984509249973576,0.0,0.0,0.579+/-0.058,0.606+/-0.049,0.627+/-0.027,0.642+/-0.018,0.662+/-0.019
CHEMBL1737951,0.375,0.37171898896805067,0.0,0.0,0.694+/-0.048,0.734+/-0.049,0.8+/-0.066,0.867+/-0.068,
CHEMBL1738079,0.4921875,0.4873977411477411,0.0,0.0,0.508+/-0.047,0.521+/-0.048,0.533+/-0.046,0.586+/-0.03,
CHEMBL1738362,0.3125,0.2991870609445262,0.0,0.0,0.465+/-0.064,0.542+/-0.049,0.619+/-0.066,0.632+/-0.1,
CHEMBL1738395,0.5,0.49455401000965027,0.0,0.0,0.502+/-0.036,0.478+/-0.037,0.495+/-0.036,0.518+/-0.036,
CHEMBL1738485,0.5,0.5,0.0,0.0,0.571+/-0.038,0.57+/-0.031,0.616+/-0.031,0.658+/-0.035,0.736+/-0.065
CHEMBL1738502,0.35625,0.352218876891842,0.0,0.0,0.468+/-0.086,0.515+/-0.051,0.557+/-0.032,0.573+/-0.036,0.605+/-0.025
CHEMBL1738573,0.5,0.5,0.0,0.0,0.527+/-0.03,0.543+/-0.027,0.555+/-0.02,0.576+/-0.026,0.592+/-0.022
CHEMBL1738579,0.4765625,0.4730754904010718,0.0,0.0,0.565+/-0.049,0.594+/-0.054,0.605+/-0.038,0.684+/-0.055,
CHEMBL1738633,0.5,0.4898738735401718,0.0,0.0,0.634+/-0.039,0.644+/-0.031,0.646+/-0.05,0.692+/-0.098,
CHEMBL1794324,0.490625,0.4852315330406838,0.0,0.0,0.545+/-0.027,0.559+/-0.027,0.582+/-0.032,0.611+/-0.016,0.649+/-0.017
CHEMBL1794504,0.501953125,0.5085318816521824,0.0,0.0,0.719+/-0.038,0.78+/-0.056,0.834+/-0.04,0.8+/-0.258,
CHEMBL1794519,0.5,0.5,0.0,0.0,0.793+/-0.043,0.822+/-0.024,0.844+/-0.018,0.83+/-0.076,
