TASK_ID,16_train,32_train,64_train,128_train,256_train
CHEMBL1066254,0.249+/-0.081,0.419+/-0.109,0.586+/-0.035,0.637+/-0.146,
CHEMBL1119333,0.358+/-0.061,0.438+/-0.048,0.527+/-0.048,0.634+/-0.024,0.709+/-0.027
CHEMBL1243967,0.398+/-0.056,0.488+/-0.046,0.585+/-0.029,0.639+/-0.048,
CHEMBL1243970,0.319+/-0.083,0.371+/-0.071,0.451+/-0.026,0.541+/-0.048,
CHEMBL1613777,-0.016+/-0.037,0.014+/-0.039,0.009+/-0.037,0.017+/-0.038,0.025+/-0.04
CHEMBL1613800,-0.026+/-0.041,-0.026+/-0.036,-0.02+/-0.016,-0.021+/-0.016,-0.014+/-0.023
CHEMBL1613898,0.044+/-0.05,0.062+/-0.038,0.066+/-0.046,0.008+/-0.117,
CHEMBL1613907,0.021+/-0.046,0.073+/-0.082,0.102+/-0.082,0.289+/-0.224,
CHEMBL1613926,0.12+/-0.109,0.138+/-0.135,0.239+/-0.12,0.376+/-0.448,
CHEMBL1613949,0.222+/-0.088,0.328+/-0.04,0.393+/-0.051,0.452+/-0.121,
CHEMBL1614027,0.016+/-0.034,0.037+/-0.048,0.06+/-0.025,0.108+/-0.027,0.138+/-0.024
CHEMBL1614153,-0.025+/-0.03,-0.016+/-0.026,-0.015+/-0.029,-0.008+/-0.019,-0.007+/-0.022
CHEMBL1614292,-0.021+/-0.04,-0.026+/-0.029,-0.03+/-0.016,-0.038+/-0.02,-0.037+/-0.018
CHEMBL1614423,0.216+/-0.093,0.331+/-0.09,0.433+/-0.046,0.519+/-0.044,0.604+/-0.033
CHEMBL1614433,-0.002+/-0.058,-0.017+/-0.053,-0.012+/-0.039,0.005+/-0.039,-0.02+/-0.037
CHEMBL1614466,-0.015+/-0.073,-0.008+/-0.08,-0.003+/-0.029,-0.011+/-0.025,-0.011+/-0.047
CHEMBL1614503,0.092+/-0.061,0.121+/-0.048,0.13+/-0.047,0.282+/-0.253,
CHEMBL1614508,0.347+/-0.086,0.435+/-0.054,0.466+/-0.064,0.528+/-0.165,
CHEMBL1614522,0.01+/-0.058,0.022+/-0.055,0.037+/-0.028,0.052+/-0.022,0.062+/-0.04
CHEMBL1737951,0.309+/-0.058,0.422+/-0.051,0.538+/-0.076,0.625+/-0.084,
CHEMBL1738079,-0.024+/-0.034,-0.039+/-0.04,-0.053+/-0.049,-0.031+/-0.051,
CHEMBL1738362,0.193+/-0.044,0.279+/-0.053,0.37+/-0.043,0.411+/-0.283,
CHEMBL1738395,-0.035+/-0.035,-0.055+/-0.064,-0.076+/-0.07,-0.14+/-0.178,
CHEMBL1738485,0.024+/-0.087,0.024+/-0.085,0.101+/-0.074,0.169+/-0.044,0.267+/-0.111
CHEMBL1738502,0.032+/-0.057,0.065+/-0.046,0.101+/-0.026,0.12+/-0.032,0.154+/-0.021
CHEMBL1738573,-0.018+/-0.024,-0.022+/-0.032,-0.032+/-0.027,-0.033+/-0.027,-0.013+/-0.018
CHEMBL1738579,-0.02+/-0.05,-0.0+/-0.051,0.031+/-0.064,0.12+/-0.073,
CHEMBL1738633,0.052+/-0.051,0.084+/-0.045,0.097+/-0.056,0.161+/-0.233,
CHEMBL1794324,0.017+/-0.057,0.035+/-0.041,0.05+/-0.058,0.086+/-0.029,0.12+/-0.025
CHEMBL1794504,0.132+/-0.055,0.212+/-0.08,0.298+/-0.053,0.134+/-0.903,
CHEMBL1794519,0.485+/-0.073,0.58+/-0.032,0.614+/-0.076,0.648+/-0.111,
CHEMBL1794557,-0.008+/-0.053,0.007+/-0.034,0.037+/-0.038,0.069+/-0.022,0.116+/-0.033
CHEMBL1963701,0.128+/-0.092,0.221+/-0.115,0.346+/-0.077,0.448+/-0.029,0.521+/-0.021
CHEMBL1963705,0.316+/-0.095,0.422+/-0.061,0.494+/-0.06,0.579+/-0.041,0.649+/-0.021
CHEMBL1963715,0.291+/-0.111,0.4+/-0.071,0.474+/-0.045,0.539+/-0.048,0.614+/-0.012
CHEMBL1963721,0.233+/-0.045,0.294+/-0.047,0.341+/-0.044,0.394+/-0.048,0.399+/-0.149
CHEMBL1963723,0.339+/-0.092,0.49+/-0.06,0.587+/-0.028,0.649+/-0.02,0.686+/-0.016
CHEMBL1963731,0.453+/-0.104,0.581+/-0.051,0.667+/-0.03,0.733+/-0.025,0.782+/-0.033
CHEMBL1963741,0.169+/-0.076,0.229+/-0.12,0.344+/-0.047,0.387+/-0.026,0.448+/-0.031
CHEMBL1963756,0.288+/-0.144,0.327+/-0.078,0.456+/-0.061,0.514+/-0.049,0.561+/-0.034
CHEMBL1963773,0.196+/-0.103,0.32+/-0.073,0.404+/-0.033,0.48+/-0.041,0.531+/-0.036
CHEMBL1963799,0.343+/-0.085,0.468+/-0.042,0.527+/-0.03,0.585+/-0.03,0.602+/-0.049
CHEMBL1963810,0.445+/-0.072,0.51+/-0.04,0.575+/-0.025,0.616+/-0.012,0.657+/-0.031
CHEMBL1963818,0.331+/-0.106,0.43+/-0.055,0.492+/-0.035,0.553+/-0.029,0.612+/-0.025
CHEMBL1963819,0.213+/-0.085,0.32+/-0.074,0.449+/-0.065,0.528+/-0.044,0.603+/-0.024
CHEMBL1963824,0.244+/-0.071,0.306+/-0.075,0.418+/-0.049,0.51+/-0.025,0.578+/-0.043
CHEMBL1963825,0.308+/-0.111,0.487+/-0.04,0.556+/-0.036,0.611+/-0.03,0.672+/-0.032
CHEMBL1963827,0.376+/-0.11,0.463+/-0.069,0.538+/-0.028,0.607+/-0.027,0.676+/-0.025
CHEMBL1963831,0.399+/-0.079,0.528+/-0.051,0.605+/-0.025,0.642+/-0.019,0.675+/-0.038
CHEMBL1963838,0.016+/-0.031,0.035+/-0.03,0.064+/-0.041,0.071+/-0.064,
CHEMBL1963910,0.115+/-0.057,0.148+/-0.101,0.227+/-0.035,0.272+/-0.084,
CHEMBL1963969,0.041+/-0.061,0.058+/-0.04,0.042+/-0.033,0.034+/-0.087,
CHEMBL1964005,0.068+/-0.042,0.072+/-0.052,0.141+/-0.065,0.225+/-0.063,
CHEMBL1964101,0.253+/-0.119,0.339+/-0.072,0.418+/-0.016,0.469+/-0.023,0.525+/-0.011
CHEMBL1964106,0.259+/-0.124,0.4+/-0.064,0.516+/-0.035,0.58+/-0.03,0.625+/-0.072
CHEMBL1964115,0.344+/-0.067,0.436+/-0.072,0.521+/-0.027,0.6+/-0.03,0.641+/-0.036
CHEMBL2218994,0.084+/-0.086,0.15+/-0.051,0.169+/-0.066,0.136+/-0.185,
CHEMBL2219020,0.018+/-0.044,0.052+/-0.067,0.141+/-0.069,0.156+/-0.225,
CHEMBL2219026,0.047+/-0.088,0.05+/-0.063,0.15+/-0.168,0.231+/-0.449,
CHEMBL2219028,-0.027+/-0.052,-0.076+/-0.098,-0.143+/-0.139,-0.478+/-0.805,
