TASK_ID,16_train,32_train,64_train,128_train,256_train
CHEMBL1066254,0.008+/-0.094,0.053+/-0.137,0.379+/-0.144,0.559+/-0.146,
CHEMBL1119333,0.113+/-0.097,0.247+/-0.09,0.358+/-0.08,0.454+/-0.034,0.569+/-0.054
CHEMBL1243967,-0.198+/-0.293,-0.02+/-0.218,0.145+/-0.089,0.2+/-0.134,
CHEMBL1243970,-0.094+/-0.162,0.012+/-0.123,0.14+/-0.093,0.263+/-0.115,
CHEMBL1613777,-0.276+/-0.32,-0.166+/-0.189,-0.157+/-0.13,-0.145+/-0.084,-0.075+/-0.082
CHEMBL1613800,-0.217+/-0.173,-0.155+/-0.117,-0.134+/-0.083,-0.1+/-0.072,-0.048+/-0.041
CHEMBL1613898,-0.219+/-0.186,-0.233+/-0.137,-0.26+/-0.201,-0.185+/-0.266,
CHEMBL1613907,-0.026+/-0.1,0.029+/-0.076,0.023+/-0.175,0.211+/-0.113,
CHEMBL1613926,-0.118+/-0.258,0.009+/-0.212,0.184+/-0.11,0.211+/-0.217,
CHEMBL1613949,-0.128+/-0.289,-0.061+/-0.19,-0.06+/-0.212,0.11+/-0.156,
CHEMBL1614027,-0.103+/-0.138,-0.069+/-0.071,-0.052+/-0.081,-0.031+/-0.112,0.01+/-0.071
CHEMBL1614153,-0.217+/-0.115,-0.226+/-0.159,-0.115+/-0.069,-0.056+/-0.041,-0.074+/-0.072
CHEMBL1614292,-0.351+/-0.172,-0.211+/-0.169,-0.195+/-0.107,-0.099+/-0.054,-0.094+/-0.052
CHEMBL1614423,-0.085+/-0.159,-0.016+/-0.083,0.036+/-0.056,0.165+/-0.075,0.359+/-0.069
CHEMBL1614433,-0.168+/-0.164,-0.224+/-0.12,-0.178+/-0.098,-0.077+/-0.108,-0.12+/-0.114
CHEMBL1614466,-0.333+/-0.272,-0.212+/-0.131,-0.217+/-0.152,-0.14+/-0.082,-0.091+/-0.094
CHEMBL1614503,-0.188+/-0.199,-0.05+/-0.134,-0.006+/-0.111,0.281+/-0.281,
