TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train,32_train,64_train,128_train,256_train
CHEMBL1006005,0.494140625,0.4922527584747517,0.0,0.0,0.563+/-0.05,0.583+/-0.051,0.605+/-0.049,0.615+/-0.067,
CHEMBL1066254,0.494140625,0.4823208717887617,0.0,0.0,0.705+/-0.073,0.792+/-0.058,0.852+/-0.039,0.896+/-0.078,
CHEMBL1119333,0.5,0.498240458289008,0.0,0.0,0.75+/-0.054,0.772+/-0.041,0.825+/-0.021,0.865+/-0.018,0.888+/-0.016
CHEMBL1243967,0.5,0.5,0.0,0.0,0.706+/-0.072,0.744+/-0.062,0.779+/-0.032,0.826+/-0.029,
CHEMBL1243970,0.5,0.5,0.0,0.0,0.689+/-0.06,0.711+/-0.025,0.765+/-0.029,0.803+/-0.043,
CHEMBL1613777,0.496875,0.49244683822904,0.0,0.0,0.532+/-0.053,0.569+/-0.033,0.594+/-0.039,0.627+/-0.028,0.651+/-0.017
CHEMBL1613800,0.39375,0.39689776888961076,0.0,0.0,0.434+/-0.015,0.446+/-0.017,0.471+/-0.018,0.49+/-0.021,0.532+/-0.022
CHEMBL1613898,0.5,0.4938275390663997,0.0,0.0,0.575+/-0.047,0.595+/-0.031,0.639+/-0.052,0.656+/-0.061,
CHEMBL1613907,0.494140625,0.48655235373501615,0.0,0.0,0.582+/-0.037,0.634+/-0.057,0.672+/-0.046,0.664+/-0.104,
CHEMBL1613926,0.5,0.4781182813614985,0.0,0.0,0.658+/-0.052,0.686+/-0.05,0.749+/-0.035,0.823+/-0.175,
CHEMBL1613949,0.3359375,0.34002478226331984,0.0,0.0,0.478+/-0.072,0.549+/-0.051,0.601+/-0.083,0.696+/-0.086,
CHEMBL1614027,0.5,0.49913527524857193,0.0,0.0,0.56+/-0.026,0.605+/-0.018,0.646+/-0.038,0.696+/-0.017,0.717+/-0.021
CHEMBL1614153,0.33125,0.3348484157792916,0.0,0.0,0.349+/-0.021,0.372+/-0.019,0.377+/-0.021,0.404+/-0.013,0.413+/-0.014
CHEMBL1614292,0.353125,0.3499394881765983,0.0,0.0,0.372+/-0.024,0.386+/-0.023,0.39+/-0.017,0.405+/-0.021,0.417+/-0.01
CHEMBL1614423,0.37734375,0.3802097121050365,0.0,0.0,0.695+/-0.065,0.742+/-0.046,0.788+/-0.03,0.828+/-0.024,0.861+/-0.025
CHEMBL1614433,0.42890625,0.4235015157725389,0.0,0.0,0.45+/-0.024,0.468+/-0.026,0.475+/-0.025,0.486+/-0.028,0.486+/-0.043
CHEMBL1614466,0.42109375,0.4188410827123583,0.0,0.0,0.467+/-0.052,0.488+/-0.039,0.487+/-0.031,0.492+/-0.037,0.498+/-0.023
CHEMBL1614503,0.3125,0.3187259649622561,0.0,0.0,0.485+/-0.047,0.505+/-0.065,0.603+/-0.077,0.728+/-0.215,
CHEMBL1614508,0.4609375,0.4669557051946646,0.0,0.0,0.852+/-0.027,0.875+/-0.012,0.889+/-0.017,0.915+/-0.038,
CHEMBL1614522,0.5,0.4984509249973576,0.0,0.0,0.568+/-0.042,0.598+/-0.035,0.61+/-0.028,0.622+/-0.026,0.643+/-0.024
CHEMBL1737951,0.375,0.37171898896805067,0.0,0.0,0.678+/-0.057,0.749+/-0.053,0.82+/-0.058,0.888+/-0.041,
CHEMBL1738079,0.4921875,0.4873977411477411,0.0,0.0,0.501+/-0.035,0.487+/-0.041,0.515+/-0.03,0.554+/-0.018,
CHEMBL1738362,0.3125,0.2991870609445262,0.0,0.0,0.519+/-0.065,0.612+/-0.065,0.672+/-0.058,0.722+/-0.146,
CHEMBL1738395,0.5,0.49455401000965027,0.0,0.0,0.526+/-0.034,0.508+/-0.041,0.514+/-0.04,0.541+/-0.045,
CHEMBL1738485,0.5,0.5,0.0,0.0,0.582+/-0.033,0.601+/-0.03,0.642+/-0.034,0.68+/-0.042,0.75+/-0.067
CHEMBL1738502,0.35625,0.352218876891842,0.0,0.0,0.443+/-0.092,0.479+/-0.061,0.514+/-0.04,0.537+/-0.038,0.57+/-0.025
CHEMBL1738573,0.5,0.5,0.0,0.0,0.527+/-0.037,0.55+/-0.033,0.561+/-0.036,0.58+/-0.024,0.602+/-0.016
CHEMBL1738579,0.4765625,0.4730754904010718,0.0,0.0,0.562+/-0.047,0.586+/-0.053,0.612+/-0.047,0.687+/-0.034,
CHEMBL1738633,0.5,0.4898738735401718,0.0,0.0,0.614+/-0.056,0.645+/-0.043,0.674+/-0.064,0.739+/-0.118,
CHEMBL1794324,0.490625,0.4852315330406838,0.0,0.0,0.537+/-0.033,0.554+/-0.024,0.568+/-0.031,0.596+/-0.019,0.631+/-0.016
CHEMBL1794504,0.501953125,0.5085318816521824,0.0,0.0,0.759+/-0.037,0.814+/-0.024,0.869+/-0.033,0.9+/-0.211,
CHEMBL1794519,0.5,0.5,0.0,0.0,0.789+/-0.029,0.82+/-0.024,0.834+/-0.027,0.83+/-0.06,
CHEMBL1794557,0.5,0.5,0.0,0.0,0.528+/-0.021,0.549+/-0.021,0.562+/-0.022,0.569+/-0.019,0.595+/-0.023
CHEMBL1963701,0.5,0.5,0.0,0.0,0.531+/-0.029,0.54+/-0.027,0.552+/-0.015,0.596+/-0.018,0.621+/-0.025
CHEMBL1963705,0.42890625,0.42376298390045203,0.0,0.0,0.55+/-0.08,0.595+/-0.078,0.643+/-0.037,0.686+/-0.027,0.729+/-0.02
CHEMBL1963715,0.37578125,0.3770856432995851,0.0,0.0,0.491+/-0.068,0.503+/-0.06,0.551+/-0.028,0.583+/-0.027,0.625+/-0.028
CHEMBL1963721,0.32109375,0.32644553940689763,0.0,0.0,0.401+/-0.042,0.443+/-0.058,0.486+/-0.018,0.562+/-0.03,0.659+/-0.072
CHEMBL1963723,0.45390625,0.4555803010366116,0.0,0.0,0.613+/-0.056,0.67+/-0.037,0.728+/-0.028,0.78+/-0.021,0.817+/-0.015
CHEMBL1963731,0.38359375,0.3875741537336932,0.0,0.0,0.663+/-0.074,0.724+/-0.039,0.781+/-0.02,0.829+/-0.013,0.859+/-0.016
CHEMBL1963741,0.44609375,0.4510860893610201,0.0,0.0,0.566+/-0.034,0.591+/-0.04,0.642+/-0.025,0.664+/-0.029,0.709+/-0.029
CHEMBL1963756,0.42109375,0.4185400317295997,0.0,0.0,0.502+/-0.027,0.544+/-0.024,0.575+/-0.038,0.635+/-0.029,0.676+/-0.032
CHEMBL1963773,0.42109375,0.4186391438894407,0.0,0.0,0.493+/-0.041,0.525+/-0.04,0.557+/-0.028,0.596+/-0.032,0.632+/-0.037
CHEMBL1963799,0.38359375,0.3882822439927012,0.0,0.0,0.479+/-0.052,0.521+/-0.049,0.559+/-0.055,0.609+/-0.028,0.64+/-0.039
CHEMBL1963810,0.48359375,0.4821799569185389,0.0,0.0,0.636+/-0.043,0.677+/-0.047,0.722+/-0.026,0.757+/-0.03,0.798+/-0.018
CHEMBL1963818,0.44453125,0.4494799798169649,0.0,0.0,0.631+/-0.055,0.673+/-0.028,0.7+/-0.015,0.724+/-0.021,0.757+/-0.022
CHEMBL1963819,0.353125,0.35007328362699397,0.0,0.0,0.462+/-0.045,0.5+/-0.056,0.564+/-0.049,0.607+/-0.05,0.718+/-0.018
CHEMBL1963824,0.453125,0.45411939644993976,0.0,0.0,0.621+/-0.051,0.668+/-0.044,0.722+/-0.041,0.746+/-0.023,0.77+/-0.044
CHEMBL1963825,0.453125,0.45310098585488917,0.0,0.0,0.559+/-0.056,0.635+/-0.033,0.659+/-0.051,0.701+/-0.037,0.733+/-0.022
CHEMBL1963827,0.49765625,0.49593225421617104,0.0,0.0,0.65+/-0.049,0.682+/-0.056,0.733+/-0.028,0.773+/-0.014,0.785+/-0.018
CHEMBL1963831,0.38359375,0.38720552867344915,0.0,0.0,0.56+/-0.057,0.6+/-0.081,0.69+/-0.028,0.753+/-0.033,0.786+/-0.037
CHEMBL1963838,0.5,0.5,0.0,0.0,0.551+/-0.053,0.57+/-0.036,0.61+/-0.049,0.644+/-0.043,
CHEMBL1963910,0.5,0.5,0.0,0.0,0.589+/-0.078,0.59+/-0.049,0.626+/-0.049,0.624+/-0.044,
CHEMBL1963969,0.5,0.5,0.0,0.0,0.533+/-0.023,0.538+/-0.026,0.554+/-0.034,0.554+/-0.055,
CHEMBL1964005,0.5,0.4936052220606886,0.0,0.0,0.626+/-0.06,0.614+/-0.065,0.626+/-0.016,0.615+/-0.041,
CHEMBL1964101,0.5,0.4988705974589096,0.0,0.0,0.592+/-0.041,0.633+/-0.03,0.65+/-0.035,0.695+/-0.026,0.723+/-0.026
CHEMBL1964106,0.33515625,0.33781772431277973,0.0,0.0,0.399+/-0.05,0.432+/-0.047,0.49+/-0.038,0.573+/-0.025,0.613+/-0.118
CHEMBL1964115,0.43046875,0.42637731271857593,0.0,0.0,0.551+/-0.067,0.591+/-0.062,0.636+/-0.032,0.686+/-0.04,0.706+/-0.055
CHEMBL2218946,0.494140625,0.48868599468282325,0.0,0.0,0.575+/-0.052,0.607+/-0.043,0.646+/-0.051,0.697+/-0.073,
CHEMBL2218957,0.5,0.49245904432821336,0.0,0.0,0.645+/-0.079,0.691+/-0.078,0.71+/-0.054,0.732+/-0.087,
CHEMBL2218959,0.5,0.49245904432821336,0.0,0.0,0.577+/-0.053,0.612+/-0.059,0.686+/-0.047,0.693+/-0.06,
CHEMBL2218989,0.5,0.49245904432821336,0.0,0.0,0.702+/-0.061,0.761+/-0.049,0.815+/-0.029,0.842+/-0.067,
CHEMBL2218994,0.482421875,0.47776355130602166,0.0,0.0,0.498+/-0.04,0.546+/-0.045,0.526+/-0.046,0.595+/-0.085,
CHEMBL2219020,0.5,0.49245904432821336,0.0,0.0,0.482+/-0.029,0.462+/-0.033,0.441+/-0.011,0.437+/-0.056,
CHEMBL2219026,0.4765625,0.47399050166063156,0.0,0.0,0.542+/-0.066,0.583+/-0.061,0.632+/-0.044,0.703+/-0.079,
CHEMBL2219028,0.5,0.49245904432821336,0.0,0.0,0.507+/-0.033,0.522+/-0.013,0.521+/-0.057,0.536+/-0.069,
CHEMBL2219040,0.5,0.49245904432821336,0.0,0.0,0.53+/-0.032,0.557+/-0.064,0.578+/-0.039,0.617+/-0.102,
CHEMBL2219043,0.5,0.49245904432821336,0.0,0.0,0.559+/-0.038,0.592+/-0.05,0.602+/-0.05,0.628+/-0.112,
CHEMBL2219045,0.494140625,0.48868599468282325,0.0,0.0,0.545+/-0.039,0.581+/-0.031,0.621+/-0.059,0.676+/-0.11,
