TASK_ID,16_train,32_train,64_train,128_train,256_train
CHEMBL1066254,0.142+/-0.175,0.339+/-0.143,0.579+/-0.037,0.641+/-0.099,
CHEMBL1119333,0.246+/-0.153,0.398+/-0.07,0.524+/-0.064,0.64+/-0.026,0.706+/-0.019
CHEMBL1243967,0.115+/-0.074,0.235+/-0.099,0.355+/-0.035,0.421+/-0.099,
CHEMBL1243970,0.096+/-0.088,0.112+/-0.099,0.209+/-0.042,0.351+/-0.075,
CHEMBL1613777,0.004+/-0.024,0.008+/-0.018,0.023+/-0.029,0.033+/-0.055,0.068+/-0.022
CHEMBL1613800,-0.0+/-0.0,-0.002+/-0.007,-0.006+/-0.013,0.005+/-0.01,0.023+/-0.015
CHEMBL1613898,-0.004+/-0.009,-0.003+/-0.008,-0.024+/-0.073,-0.018+/-0.115,
CHEMBL1613907,-0.008+/-0.026,0.078+/-0.101,0.134+/-0.083,0.281+/-0.203,
CHEMBL1613926,0.087+/-0.121,0.166+/-0.115,0.328+/-0.044,0.45+/-0.245,
CHEMBL1613949,0.026+/-0.045,0.087+/-0.066,0.22+/-0.052,0.336+/-0.1,
CHEMBL1614027,0.005+/-0.018,0.03+/-0.034,0.072+/-0.046,0.131+/-0.019,0.147+/-0.027
CHEMBL1614153,-0.001+/-0.005,-0.006+/-0.014,-0.0+/-0.001,0.0+/-0.001,0.01+/-0.01
CHEMBL1614292,-0.004+/-0.014,0.0+/-0.0,-0.0+/-0.0,-0.002+/-0.014,0.009+/-0.01
CHEMBL1614423,0.063+/-0.111,0.211+/-0.199,0.429+/-0.061,0.522+/-0.049,0.615+/-0.039
CHEMBL1614433,-0.016+/-0.021,-0.012+/-0.019,-0.006+/-0.014,-0.0+/-0.029,-0.011+/-0.076
CHEMBL1614466,0.001+/-0.015,0.001+/-0.005,-0.008+/-0.029,-0.0+/-0.027,0.015+/-0.018
CHEMBL1614503,0.014+/-0.028,0.008+/-0.026,0.065+/-0.069,0.2+/-0.2,
CHEMBL1614508,0.35+/-0.056,0.437+/-0.065,0.469+/-0.057,0.554+/-0.178,
CHEMBL1614522,-0.014+/-0.023,0.002+/-0.027,0.011+/-0.028,0.022+/-0.023,0.061+/-0.017
CHEMBL1737951,0.079+/-0.104,0.206+/-0.126,0.408+/-0.08,0.554+/-0.078,
CHEMBL1738079,-0.0+/-0.0,-0.013+/-0.042,-0.002+/-0.008,0.0+/-0.0,
CHEMBL1738362,0.178+/-0.058,0.265+/-0.052,0.36+/-0.037,0.481+/-0.106,
CHEMBL1738395,-0.021+/-0.04,-0.03+/-0.069,-0.026+/-0.059,-0.048+/-0.106,
CHEMBL1738485,0.009+/-0.03,0.011+/-0.04,0.048+/-0.065,0.154+/-0.071,0.266+/-0.106
CHEMBL1738502,-0.007+/-0.03,0.001+/-0.031,0.034+/-0.035,0.069+/-0.041,0.114+/-0.024
CHEMBL1738573,-0.001+/-0.004,0.001+/-0.004,-0.001+/-0.011,-0.008+/-0.03,0.033+/-0.017
CHEMBL1738579,0.004+/-0.036,0.0+/-0.007,0.012+/-0.055,0.055+/-0.044,
