TASK_ID,16_train,32_train,64_train,128_train,256_train
CHEMBL1066254,-0.238+/-0.284,-0.058+/-0.198,0.097+/-0.142,0.104+/-0.266,
CHEMBL1119333,-0.016+/-0.178,0.038+/-0.438,0.369+/-0.059,0.387+/-0.122,0.467+/-0.146
CHEMBL1243967,-0.074+/-0.192,-0.042+/-0.247,0.134+/-0.11,0.132+/-0.167,
CHEMBL1243970,-0.248+/-0.331,-0.043+/-0.084,0.083+/-0.102,0.143+/-0.083,
CHEMBL1613777,-0.279+/-0.331,-0.124+/-0.157,-0.145+/-0.122,-0.153+/-0.144,-0.056+/-0.074
CHEMBL1613800,-0.296+/-0.356,-0.119+/-0.111,-0.128+/-0.115,-0.083+/-0.091,-0.057+/-0.053
CHEMBL1613898,-0.247+/-0.169,-0.168+/-0.157,-0.166+/-0.089,-0.106+/-0.204,
CHEMBL1613907,-0.184+/-0.211,-0.073+/-0.099,-0.08+/-0.154,-0.086+/-0.258,
CHEMBL1613926,0.024+/-0.089,-0.063+/-0.221,0.106+/-0.112,0.008+/-0.502,
CHEMBL1613949,-0.298+/-0.209,-0.146+/-0.239,-0.041+/-0.171,0.071+/-0.15,
CHEMBL1614027,-0.172+/-0.172,-0.09+/-0.122,-0.054+/-0.07,-0.072+/-0.204,0.03+/-0.061
CHEMBL1614153,-0.442+/-0.503,-0.183+/-0.154,-0.104+/-0.07,-0.112+/-0.136,-0.028+/-0.033
CHEMBL1614292,-0.301+/-0.352,-0.271+/-0.255,-0.153+/-0.147,-0.079+/-0.075,-0.079+/-0.081
CHEMBL1614423,-0.003+/-0.145,-0.016+/-0.299,0.152+/-0.074,0.2+/-0.075,0.289+/-0.081
CHEMBL1614433,-0.624+/-0.916,-0.215+/-0.219,-0.107+/-0.127,-0.087+/-0.114,-0.077+/-0.106
CHEMBL1614466,-0.317+/-0.183,-0.215+/-0.287,-0.133+/-0.073,-0.044+/-0.051,-0.055+/-0.073
CHEMBL1614503,-0.183+/-0.152,-0.156+/-0.34,-0.089+/-0.19,-0.044+/-0.282,
CHEMBL1614508,0.101+/-0.181,0.097+/-0.24,0.218+/-0.092,0.301+/-0.196,
CHEMBL1614522,-0.303+/-0.225,-0.242+/-0.287,-0.171+/-0.125,-0.004+/-0.067,-0.014+/-0.04
CHEMBL1737951,-0.011+/-0.222,-0.005+/-0.191,0.163+/-0.1,0.189+/-0.185,
CHEMBL1738079,-0.236+/-0.181,-0.2+/-0.239,-0.152+/-0.116,-0.177+/-0.157,
CHEMBL1738362,0.07+/-0.24,0.191+/-0.108,0.297+/-0.15,0.437+/-0.286,
CHEMBL1738395,-0.234+/-0.214,-0.178+/-0.169,-0.244+/-0.229,-0.146+/-0.13,
CHEMBL1738485,-0.282+/-0.247,-0.229+/-0.194,-0.123+/-0.161,-0.089+/-0.173,0.016+/-0.152
CHEMBL1738502,-0.323+/-0.259,-0.279+/-0.296,-0.196+/-0.124,-0.099+/-0.138,-0.048+/-0.081
CHEMBL1738573,-0.162+/-0.11,-0.234+/-0.154,-0.111+/-0.066,-0.108+/-0.086,-0.06+/-0.045
CHEMBL1738579,-0.224+/-0.227,-0.198+/-0.162,-0.074+/-0.093,-0.127+/-0.143,
CHEMBL1738633,-0.181+/-0.35,-0.076+/-0.186,-0.057+/-0.074,-0.034+/-0.293,
CHEMBL1794324,-0.169+/-0.09,-0.114+/-0.114,-0.09+/-0.113,-0.115+/-0.238,-0.052+/-0.084
CHEMBL1794504,-0.119+/-0.211,0.021+/-0.083,0.002+/-0.213,-0.436+/-2.175,
CHEMBL1794519,0.185+/-0.118,0.213+/-0.098,0.303+/-0.085,0.37+/-0.135,
CHEMBL1794557,-0.472+/-0.44,-0.202+/-0.192,-0.1+/-0.103,-0.12+/-0.123,-0.018+/-0.05
CHEMBL1963701,-0.234+/-0.32,-0.132+/-0.166,-0.077+/-0.073,-0.03+/-0.069,0.032+/-0.048
CHEMBL1963705,-0.274+/-0.267,-0.145+/-0.164,-0.145+/-0.171,-0.031+/-0.11,0.091+/-0.08
CHEMBL1963715,-0.161+/-0.157,-0.124+/-0.099,-0.066+/-0.1,0.04+/-0.087,-0.008+/-0.116
CHEMBL1963721,-0.083+/-0.111,-0.249+/-0.242,-0.129+/-0.26,-0.069+/-0.143,-0.058+/-0.047
CHEMBL1963723,-0.178+/-0.191,-0.165+/-0.266,-0.034+/-0.1,-0.031+/-0.126,0.071+/-0.076
CHEMBL1963731,-0.198+/-0.45,0.022+/-0.184,0.067+/-0.13,0.123+/-0.121,0.221+/-0.142
CHEMBL1963741,-0.23+/-0.358,-0.224+/-0.226,-0.167+/-0.126,-0.087+/-0.129,0.002+/-0.072
CHEMBL1963756,-0.251+/-0.35,-0.132+/-0.254,-0.172+/-0.177,-0.03+/-0.057,-0.115+/-0.19
CHEMBL1963773,-0.097+/-0.168,-0.191+/-0.187,-0.086+/-0.121,-0.041+/-0.067,0.019+/-0.084
CHEMBL1963799,-0.04+/-0.09,-0.197+/-0.338,-0.123+/-0.279,0.013+/-0.146,0.106+/-0.075
CHEMBL1963810,-0.131+/-0.138,-0.078+/-0.185,-0.11+/-0.134,0.062+/-0.087,0.153+/-0.066
CHEMBL1963818,-0.153+/-0.189,-0.017+/-0.095,-0.009+/-0.152,0.1+/-0.128,0.142+/-0.172
