TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train,32_train,64_train,128_train,256_train
CHEMBL1006005,0.494140625,0.4922527584747517,0.0,0.0,0.593+/-0.061,0.608+/-0.015,0.596+/-0.023,0.589+/-0.063,
CHEMBL1066254,0.494140625,0.4823208717887617,0.0,0.0,0.497+/-0.01,0.509+/-0.029,0.54+/-0.057,0.62+/-0.152,
CHEMBL1119333,0.5,0.498240458289008,0.0,0.0,0.68+/-0.071,0.699+/-0.011,0.693+/-0.014,0.695+/-0.024,0.702+/-0.042
CHEMBL1243967,0.5,0.5,0.0,0.0,0.749+/-0.011,0.745+/-0.012,0.749+/-0.028,0.758+/-0.053,
CHEMBL1243970,0.5,0.5,0.0,0.0,0.676+/-0.055,0.695+/-0.015,0.694+/-0.026,0.697+/-0.034,
CHEMBL1613777,0.496875,0.49244683822904,0.0,0.0,0.494+/-0.004,0.492+/-0.004,0.489+/-0.003,0.488+/-0.002,0.487+/-0.004
CHEMBL1613800,0.39375,0.39689776888961076,0.0,0.0,0.397+/-0.01,0.397+/-0.014,0.397+/-0.009,0.39+/-0.006,0.39+/-0.007
CHEMBL1613898,0.5,0.4938275390663997,0.0,0.0,0.511+/-0.039,0.517+/-0.031,0.529+/-0.034,0.571+/-0.05,
CHEMBL1613907,0.494140625,0.48655235373501615,0.0,0.0,0.514+/-0.066,0.538+/-0.058,0.591+/-0.067,0.605+/-0.093,
CHEMBL1613926,0.5,0.4781182813614985,0.0,0.0,0.647+/-0.073,0.648+/-0.076,0.68+/-0.031,0.638+/-0.176,
CHEMBL1613949,0.3359375,0.34002478226331984,0.0,0.0,0.468+/-0.089,0.438+/-0.095,0.517+/-0.04,0.465+/-0.096,
CHEMBL1614027,0.5,0.49913527524857193,0.0,0.0,0.502+/-0.012,0.501+/-0.013,0.512+/-0.009,0.511+/-0.009,0.51+/-0.005
CHEMBL1614153,0.33125,0.3348484157792916,0.0,0.0,0.339+/-0.023,0.348+/-0.019,0.356+/-0.018,0.361+/-0.003,0.361+/-0.004
CHEMBL1614292,0.353125,0.3499394881765983,0.0,0.0,0.357+/-0.012,0.355+/-0.012,0.35+/-0.011,0.349+/-0.01,0.345+/-0.008
CHEMBL1614423,0.37734375,0.3802097121050365,0.0,0.0,0.416+/-0.031,0.411+/-0.033,0.411+/-0.032,0.421+/-0.016,0.424+/-0.015
CHEMBL1614433,0.42890625,0.4235015157725389,0.0,0.0,0.416+/-0.017,0.407+/-0.017,0.402+/-0.015,0.396+/-0.01,0.408+/-0.017
CHEMBL1614466,0.42109375,0.4188410827123583,0.0,0.0,0.423+/-0.014,0.423+/-0.013,0.417+/-0.013,0.414+/-0.016,0.421+/-0.024
CHEMBL1614503,0.3125,0.3187259649622561,0.0,0.0,0.384+/-0.034,0.365+/-0.032,0.368+/-0.033,0.657+/-0.235,
CHEMBL1614508,0.4609375,0.4669557051946646,0.0,0.0,0.503+/-0.105,0.499+/-0.096,0.517+/-0.038,0.559+/-0.069,
CHEMBL1614522,0.5,0.4984509249973576,0.0,0.0,0.525+/-0.05,0.529+/-0.021,0.517+/-0.014,0.517+/-0.009,0.517+/-0.011
CHEMBL1737951,0.375,0.37171898896805067,0.0,0.0,0.389+/-0.07,0.432+/-0.074,0.482+/-0.056,0.512+/-0.06,
CHEMBL1738079,0.4921875,0.4873977411477411,0.0,0.0,0.513+/-0.011,0.52+/-0.017,0.516+/-0.023,0.52+/-0.026,
CHEMBL1738362,0.3125,0.2991870609445262,0.0,0.0,0.337+/-0.04,0.349+/-0.049,0.381+/-0.051,0.394+/-0.144,
