TASK_ID,16_train,32_train,64_train,128_train,256_train
CHEMBL1066254,0.121+/-0.093,0.276+/-0.128,0.471+/-0.073,0.565+/-0.161,
CHEMBL1119333,0.28+/-0.157,0.424+/-0.067,0.516+/-0.057,0.604+/-0.04,0.662+/-0.036
CHEMBL1243967,0.112+/-0.057,0.22+/-0.081,0.333+/-0.031,0.415+/-0.101,
CHEMBL1243970,0.049+/-0.083,0.148+/-0.046,0.229+/-0.097,0.317+/-0.074,
CHEMBL1613777,-0.045+/-0.088,-0.006+/-0.046,0.02+/-0.043,0.024+/-0.054,0.07+/-0.022
CHEMBL1613800,-0.044+/-0.062,-0.024+/-0.051,-0.01+/-0.024,-0.009+/-0.03,0.008+/-0.029
CHEMBL1613898,-0.044+/-0.107,-0.011+/-0.028,-0.007+/-0.077,0.0+/-0.08,
CHEMBL1613907,-0.046+/-0.069,-0.012+/-0.049,0.096+/-0.053,0.246+/-0.18,
CHEMBL1613926,0.125+/-0.083,0.203+/-0.089,0.337+/-0.038,0.427+/-0.259,
CHEMBL1613949,0.046+/-0.071,0.141+/-0.078,0.206+/-0.087,0.277+/-0.089,
CHEMBL1614027,-0.021+/-0.06,0.023+/-0.048,0.068+/-0.025,0.101+/-0.044,0.149+/-0.035
CHEMBL1614153,-0.145+/-0.11,-0.032+/-0.076,-0.003+/-0.019,0.006+/-0.005,0.014+/-0.006
CHEMBL1614292,-0.023+/-0.033,-0.046+/-0.098,-0.028+/-0.059,-0.007+/-0.033,0.015+/-0.01
CHEMBL1614423,0.167+/-0.137,0.24+/-0.107,0.414+/-0.065,0.491+/-0.046,0.576+/-0.031
CHEMBL1614433,-0.039+/-0.061,-0.021+/-0.036,0.004+/-0.004,-0.003+/-0.017,0.009+/-0.016
CHEMBL1614466,-0.131+/-0.136,-0.046+/-0.044,-0.031+/-0.047,0.007+/-0.028,0.006+/-0.029
CHEMBL1614503,-0.001+/-0.027,0.001+/-0.074,0.064+/-0.051,0.223+/-0.28,
CHEMBL1614508,0.279+/-0.124,0.353+/-0.098,0.437+/-0.044,0.501+/-0.186,
CHEMBL1614522,-0.052+/-0.123,-0.007+/-0.059,0.009+/-0.024,0.038+/-0.023,0.068+/-0.033
CHEMBL1737951,0.055+/-0.155,0.235+/-0.102,0.414+/-0.095,0.489+/-0.108,
CHEMBL1738079,-0.005+/-0.013,-0.001+/-0.008,-0.019+/-0.05,0.015+/-0.013,
CHEMBL1738362,0.121+/-0.078,0.245+/-0.076,0.395+/-0.074,0.403+/-0.141,
CHEMBL1738395,-0.024+/-0.08,-0.045+/-0.051,-0.015+/-0.033,-0.024+/-0.063,
