TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train,32_train,64_train,128_train,256_train
CHEMBL1006005,0.494140625,0.4922527584747517,0.0,0.0,0.597+/-0.07,0.611+/-0.059,0.623+/-0.036,0.626+/-0.076,
CHEMBL1066254,0.494140625,0.4823208717887617,0.0,0.0,0.703+/-0.06,0.777+/-0.053,0.847+/-0.044,0.869+/-0.086,
CHEMBL1119333,0.5,0.498240458289008,0.0,0.0,0.783+/-0.042,0.789+/-0.03,0.825+/-0.027,0.863+/-0.031,0.906+/-0.022
CHEMBL1243967,0.5,0.5,0.0,0.0,0.78+/-0.068,0.808+/-0.057,0.84+/-0.015,0.879+/-0.019,
CHEMBL1243970,0.5,0.5,0.0,0.0,0.758+/-0.068,0.791+/-0.034,0.833+/-0.037,0.853+/-0.027,
CHEMBL1613777,0.496875,0.49244683822904,0.0,0.0,0.531+/-0.052,0.566+/-0.034,0.597+/-0.042,0.627+/-0.034,0.66+/-0.016
CHEMBL1613800,0.39375,0.39689776888961076,0.0,0.0,0.453+/-0.024,0.458+/-0.025,0.481+/-0.015,0.502+/-0.02,0.542+/-0.01
CHEMBL1613898,0.5,0.4938275390663997,0.0,0.0,0.58+/-0.043,0.597+/-0.036,0.633+/-0.045,0.678+/-0.053,
CHEMBL1613907,0.494140625,0.48655235373501615,0.0,0.0,0.602+/-0.043,0.644+/-0.039,0.66+/-0.042,0.659+/-0.08,
CHEMBL1613926,0.5,0.4781182813614985,0.0,0.0,0.655+/-0.069,0.697+/-0.062,0.74+/-0.038,0.854+/-0.182,
CHEMBL1613949,0.3359375,0.34002478226331984,0.0,0.0,0.571+/-0.079,0.648+/-0.079,0.717+/-0.051,0.77+/-0.097,
CHEMBL1614027,0.5,0.49913527524857193,0.0,0.0,0.565+/-0.031,0.602+/-0.031,0.643+/-0.036,0.692+/-0.017,0.731+/-0.014
CHEMBL1614153,0.33125,0.3348484157792916,0.0,0.0,0.343+/-0.041,0.378+/-0.041,0.387+/-0.034,0.417+/-0.019,0.426+/-0.013
CHEMBL1614292,0.353125,0.3499394881765983,0.0,0.0,0.386+/-0.022,0.401+/-0.021,0.406+/-0.017,0.413+/-0.023,0.433+/-0.017
CHEMBL1614423,0.37734375,0.3802097121050365,0.0,0.0,0.723+/-0.062,0.76+/-0.029,0.794+/-0.023,0.83+/-0.021,0.864+/-0.024
CHEMBL1614433,0.42890625,0.4235015157725389,0.0,0.0,0.51+/-0.038,0.516+/-0.041,0.525+/-0.036,0.555+/-0.032,0.581+/-0.025
CHEMBL1614466,0.42109375,0.4188410827123583,0.0,0.0,0.504+/-0.05,0.522+/-0.04,0.523+/-0.029,0.531+/-0.024,0.541+/-0.027
CHEMBL1614503,0.3125,0.3187259649622561,0.0,0.0,0.539+/-0.049,0.561+/-0.086,0.623+/-0.055,0.782+/-0.247,
CHEMBL1614508,0.4609375,0.4669557051946646,0.0,0.0,0.846+/-0.023,0.866+/-0.011,0.876+/-0.019,0.901+/-0.043,
CHEMBL1614522,0.5,0.4984509249973576,0.0,0.0,0.597+/-0.07,0.645+/-0.034,0.651+/-0.027,0.675+/-0.019,0.701+/-0.019
CHEMBL1737951,0.375,0.37171898896805067,0.0,0.0,0.716+/-0.049,0.782+/-0.036,0.837+/-0.051,0.89+/-0.043,
CHEMBL1738079,0.4921875,0.4873977411477411,0.0,0.0,0.499+/-0.037,0.498+/-0.026,0.51+/-0.024,0.562+/-0.028,
CHEMBL1738362,0.3125,0.2991870609445262,0.0,0.0,0.554+/-0.044,0.627+/-0.06,0.711+/-0.058,0.743+/-0.155,
CHEMBL1738395,0.5,0.49455401000965027,0.0,0.0,0.539+/-0.041,0.522+/-0.044,0.543+/-0.034,0.603+/-0.051,
