TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train,32_train,64_train,128_train,256_train
CHEMBL1006005,0.494140625,0.4922527584747517,0.0,0.0,0.579+/-0.052,0.604+/-0.059,0.613+/-0.022,0.619+/-0.065,
CHEMBL1066254,0.494140625,0.4823208717887617,0.0,0.0,0.676+/-0.057,0.754+/-0.072,0.824+/-0.04,0.873+/-0.092,
CHEMBL1119333,0.5,0.498240458289008,0.0,0.0,0.773+/-0.041,0.769+/-0.04,0.804+/-0.031,0.843+/-0.038,0.878+/-0.027
CHEMBL1243967,0.5,0.5,0.0,0.0,0.838+/-0.026,0.844+/-0.043,0.863+/-0.016,0.889+/-0.019,
CHEMBL1243970,0.5,0.5,0.0,0.0,0.79+/-0.058,0.816+/-0.037,0.841+/-0.039,0.861+/-0.025,
CHEMBL1613777,0.496875,0.49244683822904,0.0,0.0,0.527+/-0.044,0.543+/-0.027,0.575+/-0.029,0.607+/-0.026,0.632+/-0.015
CHEMBL1613800,0.39375,0.39689776888961076,0.0,0.0,0.453+/-0.027,0.454+/-0.028,0.475+/-0.02,0.496+/-0.012,0.529+/-0.014
CHEMBL1613898,0.5,0.4938275390663997,0.0,0.0,0.574+/-0.035,0.628+/-0.055,0.643+/-0.046,0.667+/-0.063,
CHEMBL1613907,0.494140625,0.48655235373501615,0.0,0.0,0.615+/-0.036,0.628+/-0.054,0.656+/-0.035,0.682+/-0.068,
CHEMBL1613926,0.5,0.4781182813614985,0.0,0.0,0.646+/-0.081,0.694+/-0.059,0.735+/-0.032,0.795+/-0.185,
CHEMBL1613949,0.3359375,0.34002478226331984,0.0,0.0,0.653+/-0.07,0.697+/-0.05,0.77+/-0.028,0.812+/-0.098,
CHEMBL1614027,0.5,0.49913527524857193,0.0,0.0,0.548+/-0.03,0.581+/-0.033,0.62+/-0.033,0.673+/-0.022,0.717+/-0.017
CHEMBL1614153,0.33125,0.3348484157792916,0.0,0.0,0.344+/-0.044,0.38+/-0.022,0.385+/-0.022,0.41+/-0.012,0.415+/-0.011
CHEMBL1614292,0.353125,0.3499394881765983,0.0,0.0,0.389+/-0.018,0.391+/-0.02,0.397+/-0.013,0.409+/-0.022,0.423+/-0.022
