TASK_ID,16_train,32_train,64_train,128_train,256_train
CHEMBL1066254,0.249+/-0.078,0.414+/-0.104,0.585+/-0.034,0.631+/-0.152,
CHEMBL1119333,0.366+/-0.061,0.444+/-0.048,0.531+/-0.052,0.637+/-0.024,0.71+/-0.027
CHEMBL1243967,0.4+/-0.056,0.494+/-0.05,0.595+/-0.033,0.638+/-0.056,
CHEMBL1243970,0.326+/-0.083,0.381+/-0.077,0.459+/-0.027,0.543+/-0.049,
CHEMBL1613777,-0.013+/-0.034,0.019+/-0.032,0.019+/-0.038,0.039+/-0.031,0.056+/-0.034
CHEMBL1613800,-0.019+/-0.035,-0.012+/-0.026,-0.001+/-0.01,0.01+/-0.013,0.027+/-0.011
CHEMBL1613898,0.042+/-0.048,0.063+/-0.036,0.081+/-0.043,0.07+/-0.086,
CHEMBL1613907,0.027+/-0.042,0.076+/-0.08,0.102+/-0.08,0.289+/-0.229,
CHEMBL1613926,0.116+/-0.11,0.134+/-0.141,0.235+/-0.118,0.385+/-0.449,
CHEMBL1613949,0.22+/-0.09,0.328+/-0.052,0.394+/-0.053,0.445+/-0.135,
CHEMBL1614027,0.019+/-0.031,0.038+/-0.047,0.065+/-0.023,0.114+/-0.02,0.148+/-0.017
CHEMBL1614153,-0.02+/-0.028,-0.006+/-0.025,0.005+/-0.022,0.025+/-0.013,0.034+/-0.014
CHEMBL1614292,-0.015+/-0.036,-0.016+/-0.026,-0.014+/-0.02,-0.006+/-0.019,0.015+/-0.012
CHEMBL1614423,0.212+/-0.09,0.319+/-0.094,0.429+/-0.049,0.518+/-0.044,0.605+/-0.033
CHEMBL1614433,0.004+/-0.042,-0.005+/-0.036,0.006+/-0.021,0.024+/-0.017,0.01+/-0.032
CHEMBL1614466,-0.007+/-0.062,0.006+/-0.056,0.007+/-0.03,0.004+/-0.025,0.003+/-0.037
CHEMBL1614503,0.092+/-0.057,0.122+/-0.045,0.132+/-0.052,0.283+/-0.252,
CHEMBL1614508,0.343+/-0.088,0.434+/-0.056,0.464+/-0.06,0.529+/-0.167,
CHEMBL1614522,0.016+/-0.051,0.028+/-0.044,0.049+/-0.02,0.069+/-0.017,0.087+/-0.023
CHEMBL1737951,0.302+/-0.056,0.416+/-0.047,0.535+/-0.073,0.623+/-0.082,
CHEMBL1738079,-0.017+/-0.029,-0.026+/-0.033,-0.024+/-0.035,0.005+/-0.03,
CHEMBL1738362,0.19+/-0.045,0.281+/-0.056,0.374+/-0.041,0.407+/-0.317,
CHEMBL1738395,-0.029+/-0.03,-0.038+/-0.056,-0.041+/-0.057,-0.053+/-0.141,
CHEMBL1738485,0.027+/-0.092,0.035+/-0.082,0.109+/-0.061,0.175+/-0.039,0.271+/-0.083
CHEMBL1738502,0.033+/-0.054,0.064+/-0.046,0.102+/-0.024,0.124+/-0.027,0.16+/-0.017
CHEMBL1738573,-0.014+/-0.021,-0.011+/-0.028,-0.014+/-0.023,-0.012+/-0.038,0.025+/-0.017
CHEMBL1738579,-0.016+/-0.048,0.008+/-0.05,0.041+/-0.052,0.121+/-0.064,
CHEMBL1738633,0.049+/-0.049,0.079+/-0.044,0.093+/-0.058,0.153+/-0.21,
CHEMBL1794324,0.019+/-0.056,0.035+/-0.041,0.055+/-0.047,0.092+/-0.026,0.128+/-0.021
CHEMBL1794504,0.129+/-0.053,0.209+/-0.078,0.294+/-0.056,0.124+/-0.908,
CHEMBL1794519,0.482+/-0.075,0.578+/-0.03,0.612+/-0.07,0.647+/-0.11,
CHEMBL1794557,-0.004+/-0.046,0.015+/-0.027,0.044+/-0.036,0.077+/-0.02,0.124+/-0.032
CHEMBL1963701,0.124+/-0.091,0.217+/-0.119,0.344+/-0.088,0.453+/-0.031,0.522+/-0.019
CHEMBL1963705,0.331+/-0.094,0.453+/-0.06,0.511+/-0.063,0.593+/-0.041,0.652+/-0.026
CHEMBL1963715,0.3+/-0.113,0.413+/-0.072,0.482+/-0.042,0.541+/-0.049,0.614+/-0.012
CHEMBL1963721,0.23+/-0.05,0.288+/-0.055,0.335+/-0.047,0.391+/-0.048,0.394+/-0.156
CHEMBL1963723,0.348+/-0.109,0.512+/-0.073,0.597+/-0.023,0.648+/-0.02,0.685+/-0.017
CHEMBL1963731,0.467+/-0.113,0.604+/-0.044,0.676+/-0.026,0.733+/-0.025,0.781+/-0.034
CHEMBL1963741,0.161+/-0.068,0.229+/-0.107,0.333+/-0.048,0.378+/-0.027,0.447+/-0.034
CHEMBL1963756,0.305+/-0.153,0.354+/-0.09,0.483+/-0.053,0.525+/-0.033,0.566+/-0.024
CHEMBL1963773,0.197+/-0.106,0.34+/-0.077,0.413+/-0.03,0.476+/-0.052,0.528+/-0.037
CHEMBL1963799,0.34+/-0.089,0.476+/-0.042,0.535+/-0.024,0.585+/-0.03,0.598+/-0.051
CHEMBL1963810,0.481+/-0.061,0.547+/-0.045,0.584+/-0.031,0.617+/-0.017,0.656+/-0.031
CHEMBL1963818,0.33+/-0.106,0.432+/-0.054,0.491+/-0.033,0.551+/-0.029,0.61+/-0.028
CHEMBL1963819,0.215+/-0.092,0.333+/-0.079,0.473+/-0.061,0.536+/-0.046,0.602+/-0.028
CHEMBL1963824,0.245+/-0.073,0.299+/-0.079,0.416+/-0.049,0.51+/-0.024,0.577+/-0.044
CHEMBL1963825,0.301+/-0.119,0.482+/-0.043,0.557+/-0.034,0.609+/-0.033,0.671+/-0.033
CHEMBL1963827,0.399+/-0.115,0.498+/-0.064,0.566+/-0.025,0.614+/-0.025,0.67+/-0.025
CHEMBL1963831,0.395+/-0.086,0.53+/-0.051,0.602+/-0.025,0.642+/-0.018,0.677+/-0.039
CHEMBL1963838,0.016+/-0.029,0.034+/-0.027,0.066+/-0.05,0.076+/-0.054,
CHEMBL1963910,0.111+/-0.053,0.148+/-0.097,0.225+/-0.039,0.272+/-0.07,
CHEMBL1963969,0.041+/-0.06,0.053+/-0.036,0.037+/-0.036,0.03+/-0.082,
CHEMBL1964005,0.069+/-0.041,0.069+/-0.054,0.141+/-0.065,0.219+/-0.056,
CHEMBL1964101,0.256+/-0.12,0.339+/-0.076,0.416+/-0.012,0.466+/-0.026,0.526+/-0.011
CHEMBL1964106,0.261+/-0.128,0.414+/-0.065,0.532+/-0.034,0.589+/-0.025,0.619+/-0.06
CHEMBL1964115,0.357+/-0.074,0.454+/-0.067,0.536+/-0.026,0.607+/-0.045,0.645+/-0.034
CHEMBL2218994,0.08+/-0.084,0.14+/-0.051,0.16+/-0.065,0.126+/-0.188,
CHEMBL2219020,0.021+/-0.055,0.065+/-0.101,0.202+/-0.114,-0.028+/-0.591,
CHEMBL2219026,0.044+/-0.084,0.026+/-0.091,0.086+/-0.101,-0.055+/-0.852,
CHEMBL2219028,-0.022+/-0.044,-0.125+/-0.219,-0.187+/-0.24,-0.592+/-0.93,
CHEMBL2219040,0.071+/-0.1,0.177+/-0.142,0.208+/-0.238,-0.441+/-1.43,
CHEMBL2219045,0.199+/-0.068,0.319+/-0.083,0.411+/-0.101,0.592+/-0.198,
CHEMBL2219049,0.206+/-0.116,0.281+/-0.123,0.403+/-0.148,0.357+/-0.351,
CHEMBL2219050,0.11+/-0.085,0.161+/-0.066,0.247+/-0.114,0.243+/-0.393,
CHEMBL2219070,0.224+/-0.229,0.295+/-0.171,0.49+/-0.165,0.614+/-0.438,
CHEMBL2219088,0.079+/-0.04,0.127+/-0.149,0.236+/-0.172,0.336+/-0.256,
CHEMBL2219098,0.172+/-0.163,0.273+/-0.104,0.283+/-0.112,0.145+/-0.39,
CHEMBL2219104,0.108+/-0.112,0.227+/-0.144,0.325+/-0.089,0.141+/-0.494,
CHEMBL2219113,0.185+/-0.123,0.266+/-0.109,0.232+/-0.304,0.251+/-0.68,
CHEMBL2219150,0.19+/-0.079,0.24+/-0.078,0.356+/-0.051,0.417+/-0.14,
CHEMBL2219159,0.125+/-0.153,0.032+/-0.281,-0.133+/-0.717,-0.637+/-1.005,
CHEMBL2219175,0.109+/-0.151,0.276+/-0.206,0.437+/-0.164,0.306+/-0.39,
CHEMBL2219180,0.199+/-0.212,0.307+/-0.234,0.539+/-0.175,0.696+/-0.133,
CHEMBL2219189,0.046+/-0.138,0.014+/-0.321,0.16+/-0.158,0.059+/-0.894,
CHEMBL2219191,0.144+/-0.166,0.382+/-0.175,0.44+/-0.185,0.445+/-0.429,
CHEMBL2219194,0.217+/-0.152,0.263+/-0.114,0.335+/-0.056,0.203+/-0.247,
CHEMBL2219211,0.232+/-0.264,0.425+/-0.252,0.562+/-0.268,0.369+/-0.763,
CHEMBL2219225,0.242+/-0.157,0.325+/-0.128,0.385+/-0.116,0.241+/-0.505,
CHEMBL2219242,0.101+/-0.059,0.081+/-0.063,-0.165+/-0.434,-0.294+/-0.759,
CHEMBL2219272,0.244+/-0.134,0.449+/-0.089,0.541+/-0.075,0.49+/-0.219,
CHEMBL2219283,0.027+/-0.11,-0.009+/-0.456,0.034+/-0.396,-1.252+/-2.188,
CHEMBL2219305,0.14+/-0.195,0.305+/-0.302,0.475+/-0.263,0.354+/-0.485,
CHEMBL2219352,-0.001+/-0.03,-0.02+/-0.088,-0.102+/-0.162,-0.285+/-0.658,
CHEMBL2219355,0.054+/-0.052,0.144+/-0.084,0.272+/-0.065,0.232+/-0.162,
CHEMBL2219363,0.282+/-0.238,0.357+/-0.187,0.553+/-0.162,0.181+/-0.954,
CHEMBL2219404,0.108+/-0.119,0.269+/-0.22,0.475+/-0.149,0.6+/-0.23,
CHEMBL2219408,0.079+/-0.092,0.231+/-0.177,0.338+/-0.169,0.024+/-1.332,
CHEMBL2354305,0.015+/-0.053,0.015+/-0.035,0.024+/-0.041,0.063+/-0.05,
CHEMBL3214944,0.023+/-0.058,0.081+/-0.056,0.124+/-0.038,0.196+/-0.037,0.278+/-0.056
CHEMBL3431930,0.487+/-0.042,0.545+/-0.028,0.591+/-0.023,0.618+/-0.024,0.643+/-0.021
CHEMBL3431932,0.202+/-0.072,0.257+/-0.052,0.325+/-0.034,0.396+/-0.032,0.445+/-0.046
CHEMBL3431933,0.032+/-0.067,0.084+/-0.069,0.12+/-0.046,0.228+/-0.037,0.304+/-0.045
CHEMBL3705334,0.406+/-0.047,0.461+/-0.061,0.506+/-0.041,0.575+/-0.114,
CHEMBL3705469,0.026+/-0.117,0.087+/-0.081,0.179+/-0.086,0.213+/-0.159,
CHEMBL3705476,0.066+/-0.066,0.177+/-0.028,0.273+/-0.034,0.348+/-0.038,0.439+/-0.025
CHEMBL3706128,0.19+/-0.053,0.369+/-0.105,0.47+/-0.054,0.578+/-0.063,
CHEMBL3706356,0.328+/-0.163,0.479+/-0.078,0.581+/-0.06,0.68+/-0.027,0.768+/-0.086
CHEMBL3707557,0.689+/-0.109,0.798+/-0.064,0.832+/-0.07,0.848+/-0.159,
CHEMBL3707738,0.031+/-0.062,0.087+/-0.071,0.135+/-0.14,0.221+/-0.252,
CHEMBL3707783,0.674+/-0.055,0.753+/-0.037,0.812+/-0.02,0.828+/-0.032,
CHEMBL3887295,0.069+/-0.056,0.141+/-0.084,0.209+/-0.102,0.285+/-0.055,
CHEMBL3887333,0.477+/-0.027,0.57+/-0.044,0.659+/-0.034,0.742+/-0.02,0.775+/-0.023
CHEMBL3887334,0.162+/-0.115,0.234+/-0.1,0.452+/-0.085,0.621+/-0.059,
CHEMBL3887759,0.098+/-0.095,0.229+/-0.086,0.336+/-0.056,0.472+/-0.044,0.563+/-0.048
CHEMBL3888181,0.132+/-0.047,0.166+/-0.072,0.217+/-0.115,0.336+/-0.076,
CHEMBL3888461,0.106+/-0.072,0.16+/-0.069,0.115+/-0.097,0.03+/-0.181,
CHEMBL641707,0.268+/-0.084,0.318+/-0.045,0.477+/-0.044,0.64+/-0.115,
CHEMBL657032,0.521+/-0.151,0.731+/-0.121,0.858+/-0.031,0.923+/-0.051,
CHEMBL663407,0.242+/-0.082,0.36+/-0.054,0.472+/-0.057,0.625+/-0.182,
CHEMBL819742,0.328+/-0.154,0.497+/-0.136,0.577+/-0.109,0.657+/-0.077,
CHEMBL924949,0.341+/-0.165,0.569+/-0.06,0.711+/-0.05,0.836+/-0.087,
